model,value
E73 Mode --- Nokia,null
C2-00 --- Nokia,null
C1-02 --- Nokia,null
C1-01 --- Nokia,null
C1-00 --- Nokia,null
N8 --- Nokia,null
X2-00 --- Nokia,null
C6 --- Nokia,null
E5 --- Nokia,null
C3 --- Nokia,null
C5 --- Nokia,null
C5 TD-SCDMA --- Nokia,null
X5 TD-SCDMA --- Nokia,null
6303i classic --- Nokia,null
5132 XpressMusic --- Nokia,null
X6 16GB (2010) --- Nokia,null
2710 Navigation Edition --- Nokia,null
X6 (2009) --- Nokia,null
6700 slide --- Nokia,null
7230 --- Nokia,null
5330 Mobile TV Edition --- Nokia,null
2690 --- Nokia,null
2220 slide --- Nokia,null
1800 --- Nokia,null
1616 --- Nokia,null
1280 --- Nokia,null
5235 Comes With Music --- Nokia,null
6788 --- Nokia,null
N97 mini --- Nokia,null
X3 --- Nokia,null
N900 --- Nokia,null
5230 --- Nokia,null
3208c --- Nokia,null
5800 Navigation Edition --- Nokia,null
6350 --- Nokia,null
Mural --- Nokia,null
6760 slide --- Nokia,null
6790 Surge --- Nokia,null
3720 classic --- Nokia,null
5530 XpressMusic --- Nokia,null
E72 --- Nokia,null
3710 fold --- Nokia,null
6730 classic --- Nokia,null
6600i slide --- Nokia,null
7020 --- Nokia,null
2720 fold --- Nokia,null
2730 classic --- Nokia,null
E52 --- Nokia,null
6216 classic --- Nokia,null
5730 XpressMusic --- Nokia,null
5330 XpressMusic --- Nokia,null
5030 XpressRadio --- Nokia,null
N86 8MP --- Nokia,null
E75 --- Nokia,null
E55 --- Nokia,null
6720 classic --- Nokia,null
6710 Navigator --- Nokia,null
5630 XpressMusic --- Nokia,null
6700 classic --- Nokia,null
6303 classic --- Nokia,null
2700 classic --- Nokia,null
6208c --- Nokia,null
8800 Gold Arte --- Nokia,null
N97 --- Nokia,null
6260 slide --- Nokia,null
E63 --- Nokia,null
7100 Supernova --- Nokia,null
5130 XpressMusic --- Nokia,null
2330 classic --- Nokia,null
2323 classic --- Nokia,null
1662 --- Nokia,null
1661 --- Nokia,null
1202 --- Nokia,null
5800 XpressMusic --- Nokia,null
N85 --- Nokia,null
N79 --- Nokia,null
8800 Carbon Arte --- Nokia,null
3610 fold --- Nokia,null
7610 Supernova --- Nokia,null
7510 Supernova --- Nokia,null
7310 Supernova --- Nokia,null
7210 Supernova --- Nokia,null
E71 --- Nokia,null
E66 --- Nokia,null
6600 fold --- Nokia,null
703 --- Nokia,null
6600 slide --- Nokia,null
3600 slide --- Nokia,null
5320 XpressMusic --- Nokia,null
5220 XpressMusic --- Nokia,null
6212 classic --- Nokia,null
5000 --- Nokia,null
7070 Prism --- Nokia,null
2680 slide --- Nokia,null
1680 classic --- Nokia,null
6300i --- Nokia,null
N96 --- Nokia,null
N78 --- Nokia,null
6220 classic --- Nokia,null
6210 Navigator --- Nokia,null
6124 classic --- Nokia,null
6650 fold --- Nokia,null
3555 --- Nokia,null
3120 classic --- Nokia,null
7900 Crystal Prism --- Nokia,null
2600 classic --- Nokia,null
1209 --- Nokia,null
3110 Evolve --- Nokia,null
N82 --- Nokia,null
8800 Sapphire Arte --- Nokia,null
8800 Arte --- Nokia,null
6301 --- Nokia,null
E51 --- Nokia,null
E51 camera-free --- Nokia,null
6263 --- Nokia,null
N81 8GB --- Nokia,null
N81 --- Nokia,null
N95 8GB --- Nokia,null
5610 XpressMusic --- Nokia,null
5310 XpressMusic --- Nokia,null
6555 --- Nokia,null
7900 Prism --- Nokia,null
7500 Prism --- Nokia,null
8600 Luna --- Nokia,null
6500 slide --- Nokia,null
6500 classic --- Nokia,null
N810 --- Nokia,null
3500 classic --- Nokia,null
2630 --- Nokia,null
N87 --- Nokia,null
6267 --- Nokia,null
2760 --- Nokia,null
2660 --- Nokia,null
1650 --- Nokia,null
1208 --- Nokia,null
1200 --- Nokia,null
6120 classic --- Nokia,null
6121 classic --- Nokia,null
5700 --- Nokia,null
5070 --- Nokia,null
E90 --- Nokia,null
E65 --- Nokia,null
E61i --- Nokia,null
N77 --- Nokia,null
6110 Navigator --- Nokia,null
N800 --- Nokia,null
3109 classic --- Nokia,null
3110 classic --- Nokia,null
N76 --- Nokia,null
N93i --- Nokia,null
6290 --- Nokia,null
6086 --- Nokia,null
6300 --- Nokia,null
2626 --- Nokia,null
N95 --- Nokia,null
N75 --- Nokia,null
5300 --- Nokia,null
5200 --- Nokia,null
6288 --- Nokia,null
6085 --- Nokia,null
8800 Sirocco --- Nokia,null
7390 --- Nokia,null
7373 --- Nokia,null
6151 --- Nokia,null
6080 --- Nokia,null
1110i --- Nokia,null
E50 --- Nokia,null
5500 Sport --- Nokia,null
N93 --- Nokia,null
N73 --- Nokia,null
N72 --- Nokia,null
2610 --- Nokia,null
2310 --- Nokia,null
1112 --- Nokia,null
6136 --- Nokia,null
6133 --- Nokia,null
6131 NFC --- Nokia,null
6131 --- Nokia,null
6126 --- Nokia,null
6070 --- Nokia,null
6125 --- Nokia,null
6103 --- Nokia,null
6233 --- Nokia,null
6234 --- Nokia,null
6282 --- Nokia,null
9300i --- Nokia,null
N92 --- Nokia,null
N80 --- Nokia,null
N71 --- Nokia,null
7380 --- Nokia,null
7370 --- Nokia,null
7360 --- Nokia,null
E70 --- Nokia,null
E62 --- Nokia,null
E61 --- Nokia,null
E60 --- Nokia,null
3250 --- Nokia,null
6708 --- Nokia,null
6280 --- Nokia,null
6270 --- Nokia,null
6111 --- Nokia,null
6060 --- Nokia,null
N91 --- Nokia,null
N90 --- Nokia,null
N70 --- Nokia,null
2652 --- Nokia,null
1600 --- Nokia,null
1110 --- Nokia,null
1101 --- Nokia,null
5140i --- Nokia,null
8800 --- Nokia,null
6230i --- Nokia,null
6021 --- Nokia,null
6030 --- Nokia,null
6680 --- Nokia,null
6681 --- Nokia,null
6101 --- Nokia,null
6822 --- Nokia,null
7710 --- Nokia,null
6020 --- Nokia,null
3230 --- Nokia,null
6670 --- Nokia,null
7280 --- Nokia,null
7270 --- Nokia,null
7260 --- Nokia,null
9300 --- Nokia,null
6630 --- Nokia,null
6260 --- Nokia,null
6170 --- Nokia,null
3128 --- Nokia,null
2650 --- Nokia,null
2600 --- Nokia,null
3220 --- Nokia,null
N-Gage QD --- Nokia,null
3120 --- Nokia,null
7610 --- Nokia,null
9500 --- Nokia,null
5140 --- Nokia,null
6610i --- Nokia,null
3108 --- Nokia,null
7700 --- Nokia,null
7200 --- Nokia,null
6230 --- Nokia,null
6820 --- Nokia,null
6810 --- Nokia,null
3660 --- Nokia,null
7600 --- Nokia,null
3200 --- Nokia,null
2300 --- Nokia,null
1100 --- Nokia,null
6620 --- Nokia,null
6600 --- Nokia,null
3100 --- Nokia,null
7250i --- Nokia,null
6108 --- Nokia,null
6220 --- Nokia,null
3300 --- Nokia,null
N-Gage --- Nokia,null
7250 --- Nokia,null
8910i --- Nokia,null
6800 --- Nokia,null
6100 --- Nokia,null
5100 --- Nokia,null
2100 --- Nokia,null
6650 --- Nokia,null
3650 --- Nokia,null
3530 --- Nokia,null
3510i --- Nokia,null
6610 --- Nokia,null
3610 --- Nokia,null
9210i Communicator --- Nokia,null
7210 --- Nokia,null
6310i --- Nokia,null
3510 --- Nokia,null
3410 --- Nokia,null
7650 --- Nokia,null
8910 --- Nokia,null
6510 --- Nokia,null
6500 --- Nokia,null
8855 --- Nokia,null
5210 --- Nokia,null
5510 --- Nokia,null
8310 --- Nokia,null
6310 --- Nokia,null
3350 --- Nokia,null
3330 --- Nokia,null
8250 --- Nokia,null
9210 Communicator --- Nokia,null
3310 --- Nokia,null
8890 --- Nokia,null
8210 --- Nokia,null
8850 --- Nokia,null
6250 --- Nokia,null
8810 --- Nokia,null
6210 --- Nokia,null
7110 --- Nokia,null
9110i Communicator --- Nokia,null
9000 Communicator --- Nokia,null
3210 --- Nokia,null
6150 --- Nokia,null
8.1 Plus --- Nokia,null
5110 --- Nokia,null
8110 --- Nokia,null
6110 --- Nokia,null
2110 --- Nokia,null
3110 --- Nokia,null
R600 --- alcatel,null
T68 --- alcatel,null
T66 --- alcatel,null
T65 --- alcatel,null
T39 --- alcatel,null
A3618 --- alcatel,null
T29s --- alcatel,null
R520m --- alcatel,null
T20e --- alcatel,null
A2628 --- alcatel,null
T20s --- alcatel,null
T36 --- alcatel,null
R380 --- alcatel,null
R320 --- alcatel,null
R310s --- alcatel,null
A2618 --- alcatel,null
R250s PRO --- alcatel,null
T28 World --- alcatel,null
T28s --- alcatel,null
T18s --- alcatel,null
T10s --- alcatel,null
A1018s --- alcatel,null
I 888 --- alcatel,null
SH 888 --- alcatel,null
S 868 --- alcatel,null
GF 788e --- alcatel,null
GF 788 --- alcatel,null
PF 768 --- alcatel,null
GF 768 --- alcatel,null
GH 688 --- alcatel,null
GA 628 --- alcatel,null
GF 388 --- alcatel,null
GH 388 --- alcatel,null
GS 337 --- alcatel,null
GF 337 --- alcatel,null
GH 337 --- alcatel,null
GA 318 --- alcatel,null
GS 18 --- alcatel,null
GO 118 --- alcatel,null
GH 218 --- alcatel,null
AL21 --- Benefon,null
A31 --- Benefon,null
AF51 --- Benefon,null
ME75 --- Benefon,null
AP75 --- Benefon,null
AX72 --- Benefon,null
SG75 --- Benefon,null
SFG75 --- Benefon,null
CC75 --- Benefon,null
CF110 --- Benefon,null
C72 --- Benefon,null
S75 --- Benefon,null
SL75 --- Benefon,null
C75 --- Benefon,null
SP65 --- Benefon,null
SXG75 --- Benefon,null
M75 --- Benefon,null
CX75 --- Benefon,null
CF75 --- Benefon,null
CL75 --- Benefon,null
AX75 --- Benefon,null
A75 --- Benefon,null
A70 --- Benefon,null
SF65 --- Benefon,null
CX70 Emoty --- Benefon,null
CX70 --- Benefon,null
SX66 --- Benefon,null
SK65 --- Benefon,null
A65 --- Benefon,null
A62 --- Benefon,null
A51 --- Benefon,null
SL65 --- Benefon,null
CFX65 --- Benefon,null
S65 --- Benefon,null
M65 --- Benefon,null
C65 --- Benefon,null
CXT65 --- Benefon,null
CX65 --- Benefon,null
CF62 --- Benefon,null
A57 --- Benefon,null
PenPhone --- Benefon,null
ST60 --- Benefon,null
CL55 --- Benefon,null
Xelibri 8 --- Benefon,null
Xelibri 7 --- Benefon,null
Xelibri 6 --- Benefon,null
Xelibri 5 --- Benefon,null
U15 --- Benefon,null
C62 --- Benefon,null
A60 --- Benefon,null
SX1 --- Benefon,null
ST55 --- Benefon,null
MC60 --- Benefon,null
C60 --- Benefon,null
Xelibri 1 --- Benefon,null
Xelibri 2 --- Benefon,null
Xelibri 3 --- Benefon,null
Xelibri 4 --- Benefon,null
U10 --- Benefon,null
A52 --- Benefon,null
M55 --- Benefon,null
A55 --- Benefon,null
SL55 --- Benefon,null
S55 --- Benefon,null
CL50 --- Benefon,null
C55 --- Benefon,null
A50 --- Benefon,null
M50 --- Benefon,null
S45i --- Benefon,null
SX45 --- Benefon,null
SL45i --- Benefon,null
SL42 --- Benefon,null
ME45 --- Benefon,null
S45 --- Benefon,null
C45 --- Benefon,null
SL45 --- Benefon,null
S40 --- Benefon,null
S35i --- Benefon,null
M35i --- Benefon,null
C35i --- Benefon,null
C35 --- Benefon,null
A40 --- Benefon,null
A36 --- Benefon,null
A35 --- Benefon,null
S25 --- Benefon,null
M30 --- Benefon,null
C28 --- Benefon,null
C25 --- Benefon,null
SL10 --- Benefon,null
S10 active --- Benefon,null
S10 --- Benefon,null
S11 --- Benefon,null
C10 --- Benefon,null
C11 --- Benefon,null
One Hyper --- Samsung,null
Razr 2019 --- Samsung,null
Moto G8 Play --- Samsung,null
Moto E6 Play --- Samsung,null
Moto G8 Plus --- Samsung,null
One Macro --- Samsung,null
Moto E6 Plus --- Samsung,null
One Zoom --- Samsung,null
One Action --- Samsung,null
Moto E6 --- Samsung,null
Moto Z4 --- Samsung,null
One Vision --- Samsung,null
Moto G7 Plus --- Samsung,null
Moto G7 --- Samsung,null
Moto G7 Power --- Samsung,null
Moto G7 Play --- Samsung,null
One (P30 Play) --- Samsung,null
One Power (P30 Note) --- Samsung,null
Moto Z3 --- Samsung,null
Moto Z3 Play --- Samsung,null
Moto E5 Cruise --- Samsung,null
Moto E5 Play Go --- Samsung,null
Moto E5 Play --- Samsung,null
Moto E5 Plus --- Samsung,null
Moto E5 --- Samsung,null
Moto G6 Play --- Samsung,null
P30 --- Samsung,null
Moto G6 Plus --- Samsung,null
Moto G6 --- Samsung,null
Moto X4 --- Samsung,null
Moto X5 --- Samsung,null
Moto G5S Plus --- Samsung,null
Moto G5S --- Samsung,null
Moto Z2 Force --- Samsung,null
Moto E4 Plus --- Samsung,null
Moto E4 Plus (USA) --- Samsung,null
Moto E4 --- Samsung,null
Moto E4 (USA) --- Samsung,null
Moto Z2 Play --- Samsung,null
Moto C Plus --- Samsung,null
Moto C --- Samsung,null
Moto G5 Plus --- Samsung,null
Moto G5 --- Samsung,null
Moto M --- Samsung,null
Moto E3 Power --- Samsung,null
Moto Z Play --- Samsung,null
Moto E3 --- Samsung,null
Moto Z Force --- Samsung,null
Moto Z --- Samsung,null
Moto G4 Plus --- Samsung,null
Moto G4 --- Samsung,null
Moto G4 Play --- Samsung,null
Moto G Turbo --- Samsung,null
Moto X Force --- Samsung,null
Droid Turbo 2 --- Samsung,null
Droid Maxx 2 --- Samsung,null
Moto X Style --- Samsung,null
Moto X Play Dual SIM --- Samsung,null
Moto X Play --- Samsung,null
Moto G Dual SIM (3rd gen) --- Samsung,null
Moto 360 Sport (1st gen) --- Samsung,null
Moto 360 42mm (2nd gen) --- Samsung,null
Moto 360 46mm (2nd gen) --- Samsung,null
Moto 360 (1st gen) --- Samsung,null
Moto G (3rd gen) --- Samsung,null
Moto E Dual SIM (2nd gen) --- Samsung,null
Moto E (2nd gen) --- Samsung,null
Moto G 4G (2nd gen) --- Samsung,null
Moto G 4G Dual SIM (2nd gen) --- Samsung,null
Moto Maxx --- Samsung,null
DROID Turbo --- Samsung,null
Nexus 6 --- Samsung,null
Moto X (2nd Gen) --- Samsung,null
Moto G Dual SIM (2nd gen) --- Samsung,null
Moto G (2nd gen) --- Samsung,null
Moto G 4G --- Samsung,null
Luge --- Samsung,null
Moto E --- Samsung,null
Moto E Dual SIM --- Samsung,null
Moto G Dual SIM --- Samsung,null
Moto G --- Samsung,null
Moto X --- Samsung,null
DROID Ultra --- Samsung,null
DROID Maxx --- Samsung,null
DROID Mini --- Samsung,null
RAZR D3 XT919 --- Samsung,null
RAZR D1 --- Samsung,null
Electrify M XT905 --- Samsung,null
RAZR i XT890 --- Samsung,null
DROID RAZR MAXX HD --- Samsung,null
DROID RAZR HD --- Samsung,null
RAZR HD XT925 --- Samsung,null
DROID RAZR M --- Samsung,null
RAZR M XT905 --- Samsung,null
DEFY XT XT556 --- Samsung,null
Electrify 2 XT881 --- Samsung,null
Photon Q 4G LTE XT897 --- Samsung,null
Defy Pro XT560 --- Samsung,null
ATRIX HD MB886 --- Samsung,null
XT760 --- Samsung,null
ATRIX TV XT687 --- Samsung,null
ATRIX TV XT682 --- Samsung,null
MotoGO TV EX440 --- Samsung,null
Motosmart Me XT303 --- Samsung,null
MOTOKEY 3-CHIP EX117 --- Samsung,null
RAZR V XT885 --- Samsung,null
RAZR V XT889 --- Samsung,null
RAZR V MT887 --- Samsung,null
MOTOSMART MIX XT550 --- Samsung,null
MotoGO EX430 --- Samsung,null
Motosmart Flip XT611 --- Samsung,null
XT390 --- Samsung,null
RAZR MAXX --- Samsung,null
DEFY XT535 --- Samsung,null
GLEAM+ WX308 --- Samsung,null
DROID 4 XT894 --- Samsung,null
DROID RAZR MAXX --- Samsung,null
Motoluxe MT680 --- Samsung,null
Motoluxe XT389 --- Samsung,null
Motoluxe --- Samsung,null
Defy Mini XT321 --- Samsung,null
Defy Mini XT320 --- Samsung,null
XT319 --- Samsung,null
WX306 --- Samsung,null
Fire --- Samsung,null
MT917 --- Samsung,null
XT928 --- Samsung,null
DROID XYBOARD 8.2 MZ609 --- Samsung,null
DROID XYBOARD 10.1 MZ617 --- Samsung,null
XT532 --- Samsung,null
MOTO XT615 --- Samsung,null
EX226 --- Samsung,null
Motokey Social --- Samsung,null
XOOM 2 Media Edition 3G MZ608 --- Samsung,null
XOOM 2 Media Edition MZ607 --- Samsung,null
XOOM 2 3G MZ616 --- Samsung,null
XOOM 2 MZ615 --- Samsung,null
XOOM Media Edition MZ505 --- Samsung,null
RAZR XT910 --- Samsung,null
DROID RAZR XT912 --- Samsung,null
ATRIX 2 MB865 --- Samsung,null
Admiral XT603 --- Samsung,null
ME632 --- Samsung,null
PRO+ --- Samsung,null
DEFY+ --- Samsung,null
EX212 --- Samsung,null
EX119 --- Samsung,null
MOTOKEY XT EX118 --- Samsung,null
MOTOKEY Mini EX109 --- Samsung,null
MOTOKEY Mini EX108 --- Samsung,null
WX294 --- Samsung,null
FIRE XT --- Samsung,null
FIRE XT311 --- Samsung,null
SPICE Key XT317 --- Samsung,null
SPICE Key --- Samsung,null
MILESTONE 3 XT860 --- Samsung,null
DROID 3 --- Samsung,null
Triumph --- Samsung,null
Photon 4G MB855 --- Samsung,null
EX232 --- Samsung,null
WILDER --- Samsung,null
MOTO MT870 --- Samsung,null
MOTO MT620 --- Samsung,null
Milestone XT883 --- Samsung,null
MOTO XT882 --- Samsung,null
MOTO XT316 --- Samsung,null
XPRT MB612 --- Samsung,null
GLEAM --- Samsung,null
PRO --- Samsung,null
XOOM MZ604 --- Samsung,null
XOOM MZ601 --- Samsung,null
XOOM MZ600 --- Samsung,null
ATRIX --- Samsung,null
ATRIX 4G --- Samsung,null
Cliq 2 --- Samsung,null
DROID BIONIC XT875 --- Samsung,null
DROID X ME811 --- Samsung,null
DROID BIONIC XT865 --- Samsung,null
MOTO ME525 --- Samsung,null
MILESTONE 2 ME722 --- Samsung,null
DROID 2 Global --- Samsung,null
EX122 --- Samsung,null
EX128 --- Samsung,null
MOTOTV EX245 --- Samsung,null
DROID PRO XT610 --- Samsung,null
XT301 --- Samsung,null
SPICE XT300 --- Samsung,null
FLIPSIDE MB508 --- Samsung,null
MOTO MT716 --- Samsung,null
BRAVO MB520 --- Samsung,null
CITRUS WX445 --- Samsung,null
EX300 --- Samsung,null
EX210 --- Samsung,null
EX201 --- Samsung,null
EX115 --- Samsung,null
EX112 --- Samsung,null
CUPE --- Samsung,null
DEFY --- Samsung,null
MILESTONE 2 --- Samsung,null
DROID 2 --- Samsung,null
MT810lx --- Samsung,null
XT810 --- Samsung,null
XT806 --- Samsung,null
A1260 --- Samsung,null
A1680 --- Samsung,null
Grasp WX404 --- Samsung,null
Rambler --- Samsung,null
CHARM --- Samsung,null
ES400 --- Samsung,null
DROID X2 --- Samsung,null
DROID X --- Samsung,null
MILESTONE XT720 --- Samsung,null
XT720 MOTOROI --- Samsung,null
Quench XT5 XT502 --- Samsung,null
Quench XT3 XT502 --- Samsung,null
FlipOut --- Samsung,null
WX295 --- Samsung,null
WX290 --- Samsung,null
WX265 --- Samsung,null
WX260 --- Samsung,null
WX181 --- Samsung,null
WX161 --- Samsung,null
QUENCH --- Samsung,null
BACKFLIP --- Samsung,null
XT800 ZHISHANG --- Samsung,null
XT701 --- Samsung,null
MT710 ZHILING --- Samsung,null
MOTO XT702 --- Samsung,null
MILESTONE --- Samsung,null
WX395 --- Samsung,null
WX390 --- Samsung,null
WX288 --- Samsung,null
WX280 --- Samsung,null
WX180 --- Samsung,null
WX160 --- Samsung,null
Motocubo A45 --- Samsung,null
DEXT MB220 --- Samsung,null
ROKR ZN50 --- Samsung,null
Karma QA1 --- Samsung,null
L800t --- Samsung,null
W7 Active Edition --- Samsung,null
ROKR W6 --- Samsung,null
MC55 --- Samsung,null
ZN300 --- Samsung,null
E11 --- Samsung,null
A3100 --- Samsung,null
A3000 --- Samsung,null
Tundra VA76r --- Samsung,null
W233 Renew --- Samsung,null
COCKTAIL VE70 --- Samsung,null
VE66 --- Samsung,null
EM35 --- Samsung,null
Aura --- Samsung,null
Q 11 --- Samsung,null
VE538 --- Samsung,null
RAZR2 V9x --- Samsung,null
ZN200 --- Samsung,null
W396 --- Samsung,null
W231 --- Samsung,null
EM30 --- Samsung,null
EM28 --- Samsung,null
EM25 --- Samsung,null
PEBL VU20 --- Samsung,null
MOTOACTV W450 --- Samsung,null
VE75 --- Samsung,null
ZN5 --- Samsung,null
A1210 --- Samsung,null
A1600 --- Samsung,null
A1890 --- Samsung,null
A1800 --- Samsung,null
A810 --- Samsung,null
W388 --- Samsung,null
Z9 --- Samsung,null
Z6w --- Samsung,null
Z6c --- Samsung,null
W181 --- Samsung,null
W177 --- Samsung,null
W161 --- Samsung,null
W270 --- Samsung,null
W230 --- Samsung,null
RIZR Z10 --- Samsung,null
ROKR E8 --- Samsung,null
W377 --- Samsung,null
W213 --- Samsung,null
W180 --- Samsung,null
W160 --- Samsung,null
U9 --- Samsung,null
V1100 --- Samsung,null
PEBL U3 --- Samsung,null
RAZR2 V9 --- Samsung,null
RAZR2 V8 --- Samsung,null
ROKR W5 --- Samsung,null
W490 --- Samsung,null
W395 --- Samsung,null
W380 --- Samsung,null
W360 --- Samsung,null
W218 --- Samsung,null
RIZR Z8 --- Samsung,null
KRZR K3 --- Samsung,null
SLVR L9 --- Samsung,null
Q 9h --- Samsung,null
Q8 --- Samsung,null
W510 --- Samsung,null
W215 --- Samsung,null
W205 --- Samsung,null
ROKR Z6 --- Samsung,null
ROKR E6 --- Samsung,null
SLVR L7e --- Samsung,null
RAZR maxx V6 --- Samsung,null
RAZR V3xx --- Samsung,null
RIZR Z3 --- Samsung,null
KRZR K1 --- Samsung,null
W209 --- Samsung,null
W375 --- Samsung,null
W208 --- Samsung,null
MOTOFONE F3 --- Samsung,null
W220 --- Samsung,null
V195 --- Samsung,null
V191 --- Samsung,null
ROKR E2 --- Samsung,null
RAZR V3i --- Samsung,null
ROKR E1 --- Samsung,null
A910 --- Samsung,null
A1200 --- Samsung,null
A728 --- Samsung,null
A732 --- Samsung,null
E895 --- Samsung,null
V3x --- Samsung,null
E1070 --- Samsung,null
E770 --- Samsung,null
SLVR L7 --- Samsung,null
PEBL U6 --- Samsung,null
A1010 --- Samsung,null
E1060 --- Samsung,null
E1120 --- Samsung,null
V1050 --- Samsung,null
C261 --- Samsung,null
C257 --- Samsung,null
C168 --- Samsung,null
C139 --- Samsung,null
C123 --- Samsung,null
C118 --- Samsung,null
C117 --- Samsung,null
C113a --- Samsung,null
C113 --- Samsung,null
C390 --- Samsung,null
E680i --- Samsung,null
V560 --- Samsung,null
V557 --- Samsung,null
V361 --- Samsung,null
V360 --- Samsung,null
L6 --- Samsung,null
L2 --- Samsung,null
